"","pred1","cutIdeal","cutNot.Ideal","channelIndependent","channelInternet","channelMall","storeAshford","storeAusmans","storeBlue.Nile","storeChalmers","storeDanford","storeFred.Meyer","storeGoodmans","storeKay","storeR..Holland","storeRiddles","storeUniversity","storeZales","carat","color","clarity","price"
"194",8.272112154059,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1.02,7,6,4257
"167",8.84923962839425,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1.01,2,5,7372
"332",8.41778879172948,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1.06,6,6,4870
"69",8.8727708379555,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1.03,6,7,4949
"133",8.85634091364246,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1.27,5,6,7083
"121",9.24647306594262,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1.51,5,5,10697
"193",8.272112154059,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1.02,7,6,4336
"188",8.37977067184581,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1.02,6,7,4525
"243",8.68017950435032,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.91,1,6,5030
"147",9.09645078011219,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1.04,1,5,8445
"323",8.17254218036164,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.73,2,6,3490
"267",7.71930983116546,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.5,2,5,2213
"177",8.8193110745896,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,4,7365
"130",9.16273809704985,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1.17,5,2,8089
"254",8.37214288102145,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.73,2,4,4215
"211",8.68929454769636,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1.02,2,7,5934
"397",9.44796134192177,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1.54,4,4,13760
"42",8.45787810072491,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,5,7,5500
"268",7.71930983116546,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.5,2,5,2233
"378",9.03529567984278,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1.5,5,7,10130
"345",8.48150739361662,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1.03,4,7,5570
"367",9.07074236677453,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1.3,4,6,8710
"255",7.83059752736946,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.71,6,5,2504
"44",8.66491724105861,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.01,4,6,5900
"57",8.71256431688918,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.007,2,7,6200
"134",8.90324598251697,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1.24,5,5,7404
"337",8.43932487057313,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1.02,6,5,4870
"77",8.23911143217996,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.72,5,8,3499
"128",8.92859080385893,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1.2,6,4,7013
"131",8.88724782663196,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1.37,6,6,6570
"146",9.09645078011219,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1.04,1,5,8369
"284",7.23546395129573,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.4,2,5,1271
"149",9.09645078011219,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1.04,1,5,8522
"415",6.1378116676765,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.25,6,9,599
"9",8.68061448260266,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.74,1,9,5895
"403",9.64241137006878,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2.02,5,6,17100
"136",8.80238211288003,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1.3,6,7,6014
"356",8.62385122377903,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1.07,5,5,6200
"12",8.50128485476334,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.085,4,8,5234
"67",7.05093933289188,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0.32,3,8,1375
"304",7.68546450185454,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.56,4,4,2010
"361",8.80153523699081,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1.11,3,6,7110
"125",8.82997559583658,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1.26,6,5,6494
"240",8.15232689188371,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.72,4,5,3308
"189",8.37977067184581,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1.02,6,7,4690
"396",9.62117253377173,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2.01,6,5,13740
"203",8.28314309348085,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1.08,7,7,3997
"205",8.46514344893381,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.9,3,7,5195
"381",9.54226258463234,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2.27,8,6,10180
"291",7.09788051614031,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.35,2,5,1243
"81",7.85319479048372,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.72,7,9,2699
"280",7.63112803046138,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.53,3,6,2202
"59",8.33032247746267,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.02,6,7,4850
"369",9.01332949081796,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1.2,4,4,8740
"181",8.6515178153488,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1.02,5,4,6580
"424",7.22562637031924,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.395,4,8,1850
"27",8.77421331588726,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1.11,5,8,6000
"29",8.45418547251307,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1.03,6,9,3900
"238",8.41488166963588,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.92,3,8,4767
"276",7.55151657192466,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.51,4,5,1985
"68",9.04988142448455,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1.03,6,5,6299
"234",8.61066576399019,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.92,1,7,4973
"312",7.9666391376688,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.63,5,2,2050
"233",8.33256982650205,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.93,4,8,4338
"49",8.26428593787235,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.92,4,8,4390
"376",9.2883693155205,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1.5,6,3,10050
"263",7.8305725264657,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.59,2,7,2122
"285",6.99240394552746,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.37,4,5,1109
"35",9.39534195495617,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1.5,6,7,9499
"178",8.8193110745896,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,4,7710
"422",6.9328026348793,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.375,6,8,1542
"25",8.91606516335798,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1.03,5,6,8900
"264",7.8305725264657,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.59,2,7,2301
"129",9.16273809704985,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1.17,5,2,8089
"124",8.96712296903537,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1.52,7,6,7230
"271",7.75833160570083,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.54,2,5,2302
"272",7.98129756906408,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.72,3,7,2905
"371",9.13003131836922,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1.26,2,7,8760
"325",8.22447333472689,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.72,3,4,3490
"185",8.66851585016059,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1.03,5,4,5995
"232",8.73571862664765,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1.04,1,8,5694
"395",9.69649597606355,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2.2,6,7,13700
"230",8.73571862664765,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1.04,1,8,5694
"385",9.44011629530803,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2.02,7,6,11840
"258",7.94711530521812,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.64,4,5,2524
"308",7.70290098074411,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.5,1,5,2040
"239",8.13489513707845,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.75,4,6,3273
"152",8.69769332550949,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1.11,6,4,5889
"296",6.94466713067276,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.36,4,5,1079
"306",7.7782990418074,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.58,2,7,2010
"242",8.15232689188371,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.72,4,5,3318
