,pred1,exp,diif,squared,cutIdeal,cutNot.Ideal,channelIndependent,channelInternet,channelMall,storeAshford,storeAusmans,storeBlue.Nile,storeChalmers,storeDanford,storeFred.Meyer,storeGoodmans,storeKay,storeR..Holland,storeRiddles,storeUniversity,storeZales,carat,color,clarity,price,
131,8.8411187401,6912.721855286,342.721855286,"117,458.27",0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1.37,6,6,6570,
146,8.8623584414,7061.1163510405,-1307.8836489595,"1,710,559.64",1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1.04,1,5,8369,
284,7.6688566784,2140.6326141347,869.6326141347,"756,260.88",0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.4,2,5,1271,
149,8.8623584414,7061.1163510405,-1460.8836489595,"2,134,181.04",1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1.04,1,5,8522,
415,7.0814213403,1189.658226636,590.6582266359,"348,877.14",0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.25,6,9,599,
9,8.7001351678,6003.7236726305,108.7236726305,"11,820.84",0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.74,1,9,5895,
403,9.9747762963,21477.8252098954,4377.8252098954,"19,165,353.57",0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2.02,5,6,17100,
136,8.7224737501,6139.347530522,125.347530522,"15,712.00",1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1.3,6,7,6014,
356,8.4841541059,4837.5037179082,-1362.4962820918,"1,856,396.12",0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1.07,5,5,6200,
12,8.5177542322,5002.80599096,-231.19400904,"53,450.67",0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.085,4,8,5234,
67,7.6985227913,2205.0882093817,830.0882093817,"689,046.44",0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0.32,3,8,1375,
304,7.8009385336,2442.893639697,432.893639697,"187,396.90",0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.56,4,4,2010,
361,8.66196776,5778.8949599848,-1331.1050400152,"1,771,840.63",0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1.11,3,6,7110,
125,8.724352577,6150.893144373,-343.106855627,"117,722.31",0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1.26,6,5,6494,
240,8.0756814768,3215.3177868287,-92.6822131713,"8,589.99",1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.72,4,5,3308,
189,8.264521741,3883.6151597599,-806.3848402401,"650,256.51",1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1.02,6,7,4690,
396,9.9337966755,20615.4624069466,6875.4624069467,"47,271,983.31",0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2.01,6,5,13740,
203,8.2159000008,3699.3041034151,-297.6958965849,"88,622.85",0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1.08,7,7,3997,
205,8.3315598341,4152.8903227888,-1042.1096772112,"1,085,992.58",1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.9,3,7,5195,
381,10.1203587788,24843.6826235347,14663.6826235347,"215,023,588.08",0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2.27,8,6,10180,
291,7.6460661009,2092.3980947205,849.3980947205,"721,477.12",1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.35,2,5,1243,
81,7.9591421006,2861.6169196547,162.6169196547,"26,444.26",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.72,7,9,2699,
280,7.7895525197,2415.2365695762,213.2365695762,"45,469.83",1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.53,3,6,2202,
59,8.2707412252,3907.844511554,-942.155488446,"887,656.96",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.02,6,7,4850,
369,8.8476859829,6958.2687730997,-1781.7312269004,"3,174,566.16",0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1.2,4,4,8740,
181,8.4827335848,4830.6368203882,-1749.3631796118,"3,060,271.53",0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1.02,5,4,6580,
424,7.5572541073,1914.581054727,64.581054727,"4,170.71",0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.395,4,8,1850,
27,8.7138719942,6086.7648376998,86.7648376998,"7,528.14",0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1.11,5,8,6000,
29,8.4321172617,4592.212723378,692.2127233779,"479,158.45",0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1.03,6,9,3900,
238,8.3011271372,4028.4104070675,-738.5895929325,"545,514.59",1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.92,3,8,4767,
276,7.73221747,2280.653879348,295.653879348,"87,411.22",1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.51,4,5,1985,
68,8.7858856673,6541.2637992984,242.2637992984,"58,691.75",0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1.03,6,5,6299,
234,8.4808196182,4821.3999848939,-151.6000151062,"22,982.56",0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.92,1,7,4973,
312,7.9539458987,2846.7859460358,796.7859460358,"634,867.84",0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.63,5,2,2050,
233,8.2297148195,3750.7639547072,-587.2360452928,"344,846.17",1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.93,4,8,4338,
49,8.2195788747,3712.9384409412,-677.0615590588,"458,412.35",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.92,4,8,4390,
376,9.2259569113,10157.3911466482,107.3911466482,"11,532.86",0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1.5,6,3,10050,
263,7.912309285,2730.6891302169,608.6891302169,"370,502.46",1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.59,2,7,2122,
285,7.5032414655,1813.9126304347,704.9126304347,"496,901.82",1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.37,4,5,1109,
35,9.419677852,12328.6099430751,2829.6099430751,"8,006,692.43",0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1.5,6,7,9499,
178,8.6255582203,5572.2723959668,-2137.7276040332,"4,569,879.31",0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,4,7710,
422,7.3490077563,1554.6531674144,12.6531674144,160.10,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.375,6,8,1542,
25,8.7683022395,6427.2512628359,-2472.7487371642,"6,114,486.32",1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1.03,5,6,8900,
264,7.912309285,2730.6891302169,429.6891302169,"184,632.75",1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.59,2,7,2301,
129,8.9133386947,7430.4276608029,-658.5723391971,"433,717.53",1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1.17,5,2,8089,
124,8.9986824269,8092.4145528088,862.4145528088,"743,758.86",0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1.52,7,6,7230,
271,7.897832683,2691.4427926527,389.4427926527,"151,665.69",0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.54,2,5,2302,
272,7.978175547,2916.6049982721,11.6049982721,134.68,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.72,3,7,2905,
371,8.9909099523,8029.7602709718,-730.2397290282,"533,250.06",1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1.26,2,7,8760,
325,8.1503931425,3464.7409346893,-25.2590653107,638.02,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.72,3,4,3490,
185,8.4990890137,4910.2935920843,-1084.7064079157,"1,176,587.99",0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1.03,5,4,5995,
232,8.6139412102,5507.913802377,-186.086197623,"34,628.07",0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1.04,1,8,5694,
395,10.1772492821,26298.0292542175,12598.0292542175,"158,710,341.09",1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2.2,6,7,13700,Carat-target linearity
230,8.6139412102,5507.913802377,-186.086197623,"34,628.07",0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1.04,1,8,5694,
385,9.799240803,18020.0589594364,6180.0589594364,"38,193,128.74",0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2.02,7,6,11840,
258,7.9448380457,2820.9755551964,296.9755551964,"88,194.48",1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.64,4,5,2524,
308,7.9029656453,2705.2933840545,665.2933840545,"442,615.29",0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.5,1,5,2040,
239,8.0616042088,3170.3719957277,-102.6280042723,"10,532.51",1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.75,4,6,3273,
152,8.5421646983,5126.4295324372,-762.5704675628,"581,513.72",0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1.11,6,4,5889,
296,7.4868860366,1784.4866049701,705.4866049701,"497,711.35",1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.36,4,5,1079,
306,7.8787407874,2640.5454572569,630.5454572569,"397,587.57",1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.58,2,7,2010,
242,8.0756814768,3215.3177868287,-102.6822131713,"10,543.64",1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.72,4,5,3318,
,,,,"10,998,707.77",,,,,,,,,,,,,,,,,,,,,,
