"","pred1","cutIdeal","cutNot.Ideal","channelIndependent","channelInternet","channelMall","storeAshford","storeAusmans","storeBlue.Nile","storeChalmers","storeDanford","storeFred.Meyer","storeGoodmans","storeKay","storeR..Holland","storeRiddles","storeUniversity","storeZales","carat","color","clarity","price"
"51",9.5894345433986,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.59,6,4,1770
"104",10.9904202412957,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1.58,7,6,7894
"423",9.72817468668812,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.58,7,6,3389
"162",10.7389457308998,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1.04,2,5,8175
"225",9.96652729247754,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.72,5,4,3240
"248",9.97116750035145,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.77,4,5,3348
"192",10.0147407820908,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1.02,7,6,4257
"259",9.90315648744472,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.72,3,7,3109
"194",10.0147407820908,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1.02,7,6,4257
"167",10.5916109147714,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1.01,2,5,7372
"332",10.1630895952837,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1.06,6,6,4870
"69",10.6158242786614,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1.03,6,7,4949
"133",10.6526070439966,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1.27,5,6,7083
"121",11.1593106769204,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1.51,5,5,10697
"193",10.0147407820908,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1.02,7,6,4336
"188",10.1223992998777,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1.02,6,7,4525
"243",10.4299746840293,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.91,1,6,5030
"147",10.8400932682802,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1.04,1,5,8445
"323",9.9927257777737,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.73,2,6,3490
"267",9.79811196666651,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.5,2,5,2213
"177",10.5615958231698,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,4,7365
"130",10.9276660158677,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1.17,5,2,8089
"254",10.1923264784335,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.73,2,4,4215
"211",10.4319231757282,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1.02,2,7,5934
"397",11.3787919358919,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1.54,4,4,13760
"42",10.2001628493051,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,5,7,5500
"268",9.79811196666651,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.5,2,5,2233
"378",10.9422871287748,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1.5,5,7,10130
"345",10.2245608343225,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1.03,4,7,5570
"367",10.8785992833746,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1.3,4,6,8710
"255",9.66433534067588,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.71,6,5,2504
"44",10.4072885274358,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.01,4,6,5900
"57",10.4548915532845,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.007,2,7,6200
"134",10.6888937948038,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1.24,5,5,7404
"337",10.181953498605,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1.02,6,5,4870
"77",10.0659040768896,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.72,5,8,3499
"128",10.7016764344157,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1.2,6,4,7013
"131",10.7256879814743,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1.37,6,6,6570
"146",10.8400932682802,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1.04,1,5,8369
"284",9.52881721813753,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.4,2,5,1271
"149",10.8400932682802,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1.04,1,5,8522
"415",8.98870237724346,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.25,6,9,599
"9",10.4945160074292,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.74,1,9,5895
"403",11.936830491301,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2.02,5,6,17100
"136",10.6102390294801,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1.3,6,7,6014
"356",10.3702152734144,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1.07,5,5,6200
"12",10.2495282398466,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.085,4,8,5234
"67",9.59368942604603,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0.32,3,8,1375
"304",9.67135288228336,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.56,4,4,2010
"361",10.5536464448538,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1.11,3,6,7110
"125",10.622591952395,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1.26,6,5,6494
"240",9.97911953659339,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.72,4,5,3308
"189",10.1223992998777,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1.02,6,7,4690
"396",11.9068153996994,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2.01,6,5,13740
"203",10.0307225737411,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1.08,7,7,3997
"205",10.2167677421892,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.9,3,7,5195
"381",12.0689590663049,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2.27,8,6,10180
"291",9.53676925437948,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.35,2,5,1243
"81",9.67998743519341,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.72,7,9,2699
"280",9.66067767847901,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.53,3,6,2202
"59",10.0729511054945,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.02,6,7,4850
"369",10.7864151213747,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1.2,4,4,8740
"181",10.3941464433806,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1.02,5,4,6580
"424",9.53218403381286,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.395,4,8,1850
"27",10.5263245237502,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1.11,5,8,6000
"29",10.1972389132189,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1.03,6,9,3900
"238",10.1630581438962,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.92,3,8,4767
"276",9.61323973939155,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.51,4,5,1985
"68",10.7929348651904,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1.03,6,5,6299
"234",10.3588422382506,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.92,1,7,4973
"312",9.86927586383265,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.63,5,2,2050
"233",10.0793334540017,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.93,4,8,4338
"49",10.0124624121327,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.92,4,8,4390
"376",11.1953607644525,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1.5,6,3,10050
"263",9.77780700750968,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.59,2,7,2122
"285",9.36931987459033,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.37,4,5,1109
"35",11.3023334038882,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1.5,6,7,9499
"178",10.5615958231698,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,4,7710
"422",9.2950432640805,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.375,6,8,1542
"25",10.6591186040638,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1.03,5,6,8900
"264",9.77780700750968,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.59,2,7,2301
"129",10.9276660158677,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1.17,5,2,8089
"124",10.8858831563809,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1.52,7,6,7230
"271",9.77273708293876,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.54,2,5,2302
"272",9.80809021377376,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.72,3,7,2905
"371",10.9226476749276,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1.26,2,7,8760
"325",10.0512659794366,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.72,3,4,3490
"185",10.4115692908664,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1.03,5,4,5995
"232",10.4793611148157,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1.04,1,8,5694
"395",12.1558051890715,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2.2,6,7,13700
"230",10.4793611148157,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1.04,1,8,5694
"385",11.7345354165403,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2.02,7,6,11840
"258",9.83973675670698,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.64,4,5,2524
"308",9.78170311624515,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.5,1,5,2040
"239",9.94283278578628,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.75,4,6,3273
"152",10.4498045333725,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1.11,6,4,5889
"296",9.35189702710453,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.36,4,5,1079
"306",9.73789404589311,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.58,2,7,2010
"242",9.97911953659339,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.72,4,5,3318
