"","Var1","Var2","value"
"57","capital_run_length_total","capital_run_length_total",1
"58","word_freq_415","word_freq_857",0.996066050931392
"59","word_freq_857","word_freq_415",0.996066050931392
"60","word_freq_direct","word_freq_857",0.848020708618815
"61","word_freq_857","word_freq_direct",0.848020708618815
"62","word_freq_direct","word_freq_415",0.845359116440001
"63","word_freq_415","word_freq_direct",0.845359116440001
"64","word_freq_857","word_freq_telnet",0.737554855231106
"65","word_freq_telnet","word_freq_857",0.737554855231106
"66","word_freq_415","word_freq_telnet",0.735186849385014
"67","word_freq_telnet","word_freq_415",0.735186849385014
"68","word_freq_technology","word_freq_857",0.729749605273179
"69","word_freq_857","word_freq_technology",0.729749605273179
"70","word_freq_technology","word_freq_415",0.727118565905213
"71","word_freq_415","word_freq_technology",0.727118565905213
"72","word_freq_direct","word_freq_telnet",0.699918173287688
"73","word_freq_telnet","word_freq_direct",0.699918173287688
"74","word_freq_technology","word_freq_telnet",0.677790259173495
"75","word_freq_telnet","word_freq_technology",0.677790259173495
"76","word_freq_direct","word_freq_technology",0.674249394146635
"77","word_freq_technology","word_freq_direct",0.674249394146635
"78","word_freq_857","word_freq_labs",0.660284257807262
"79","word_freq_labs","word_freq_857",0.660284257807262
"80","word_freq_415","word_freq_labs",0.657940733247278
"81","word_freq_labs","word_freq_415",0.657940733247278
"82","word_freq_technology","word_freq_labs",0.626123717494846
"83","word_freq_labs","word_freq_technology",0.626123717494846
"84","word_freq_telnet","word_freq_labs",0.607214071844771
"85","word_freq_labs","word_freq_telnet",0.607214071844771
"86","word_freq_direct","word_freq_labs",0.602230366720876
"87","word_freq_labs","word_freq_direct",0.602230366720876
"88","word_freq_85","word_freq_650",0.581517644934939
"89","word_freq_650","word_freq_85",0.581517644934939
"90","word_freq_technology","word_freq_650",0.565162336855043
"91","word_freq_650","word_freq_technology",0.565162336855043
"92","word_freq_857","word_freq_650",0.559349048480829
"93","word_freq_650","word_freq_857",0.559349048480829
"94","word_freq_415","word_freq_650",0.557572559623729
"95","word_freq_650","word_freq_415",0.557572559623729
"96","word_freq_85","word_freq_857",0.556650271775431
"97","word_freq_857","word_freq_85",0.556650271775431
"98","word_freq_85","word_freq_415",0.554875525721298
"99","word_freq_415","word_freq_85",0.554875525721298
"100","word_freq_labs","word_freq_650",0.553299741557441
"101","word_freq_650","word_freq_labs",0.553299741557441
"102","word_freq_85","word_freq_labs",0.544411357802386
"103","word_freq_labs","word_freq_85",0.544411357802386
"104","word_freq_85","word_freq_telnet",0.523227491414645
"105","word_freq_telnet","word_freq_85",0.523227491414645
"106","word_freq_telnet","word_freq_650",0.518869823910832
"107","word_freq_650","word_freq_telnet",0.518869823910832
"108","word_freq_technology","word_freq_85",0.518703963774417
"109","word_freq_85","word_freq_technology",0.518703963774417
"110","word_freq_hpl","word_freq_hp",0.517293020039708
"111","word_freq_hp","word_freq_hpl",0.517293020039708
"112","word_freq_direct","word_freq_85",0.513129642327494
"113","word_freq_85","word_freq_direct",0.513129642327494
"114","word_freq_direct","word_freq_650",0.510164980840911
"115","word_freq_650","word_freq_direct",0.510164980840911
"116","word_freq_857","word_freq_lab",0.506015151922076
"117","word_freq_lab","word_freq_857",0.506015151922076
"118","word_freq_415","word_freq_lab",0.504233124436372
"119","word_freq_lab","word_freq_415",0.504233124436372
"120","capital_run_length_longest","capital_run_length_average",0.492638297238676
"121","capital_run_length_average","capital_run_length_longest",0.492638297238676
"122","capital_run_length_total","capital_run_length_longest",0.475485956061031
"123","capital_run_length_longest","capital_run_length_total",0.475485956061031
"124","word_freq_direct","word_freq_lab",0.463813425132466
"125","word_freq_lab","word_freq_direct",0.463813425132466
"126","word_freq_labs","word_freq_hp",0.448524938274848
"127","word_freq_hp","word_freq_labs",0.448524938274848
"128","word_freq_meeting","word_freq_lab",0.433658622557315
"129","word_freq_lab","word_freq_meeting",0.433658622557315
"130","char_freq_semic","word_freq_font",0.416607971204337
"131","word_freq_font","char_freq_semic",0.416607971204337
"132","word_freq_telnet","word_freq_lab",0.407006645558408
"133","word_freq_lab","word_freq_telnet",0.407006645558408
"134","word_freq_technology","word_freq_lab",0.406538651445998
"135","word_freq_lab","word_freq_technology",0.406538651445998
"136","word_freq_labs","word_freq_hpl",0.389278924408711
"137","word_freq_hpl","word_freq_labs",0.389278924408711
"138","word_freq_technology","word_freq_hp",0.386132367417344
"139","word_freq_hp","word_freq_technology",0.386132367417344
"140","word_freq_labs","word_freq_lab",0.377011890297331
"141","word_freq_lab","word_freq_labs",0.377011890297331
"142","word_freq_650","word_freq_hpl",0.373212218615545
"143","word_freq_hpl","word_freq_650",0.373212218615545
"144","capital_run_length_longest","char_freq_openBracket",0.370962638353527
"145","char_freq_openBracket","capital_run_length_longest",0.370962638353527
"146","word_freq_000","word_freq_addresses",0.369588077270157
"147","word_freq_addresses","word_freq_000",0.369588077270157
"148","word_freq_857","word_freq_hp",0.366216573757843
"149","word_freq_hp","word_freq_857",0.366216573757843
"150","word_freq_415","word_freq_hp",0.364832932822325
"151","word_freq_hp","word_freq_415",0.364832932822325
"152","word_freq_857","word_freq_hpl",0.362120499121229
"153","word_freq_hpl","word_freq_857",0.362120499121229
"154","word_freq_415","word_freq_hpl",0.361089150145701
"155","word_freq_hpl","word_freq_415",0.361089150145701
"156","word_freq_technology","word_freq_hpl",0.353362286396657
"157","word_freq_hpl","word_freq_technology",0.353362286396657
"158","word_freq_edu","word_freq_cs",0.349430848814416
"159","word_freq_cs","word_freq_edu",0.349430848814416
"160","word_freq_telnet","word_freq_hp",0.346018228778141
"161","word_freq_hp","word_freq_telnet",0.346018228778141
"162","word_freq_telnet","word_freq_hpl",0.339386957177862
"163","word_freq_hpl","word_freq_telnet",0.339386957177862
"164","word_freq_lab","word_freq_650",0.337525839093853
"165","word_freq_650","word_freq_lab",0.337525839093853
"166","word_freq_650","word_freq_hp",0.335034383902006
"167","word_freq_hp","word_freq_650",0.335034383902006
"168","word_freq_85","word_freq_hpl",0.328805456460036
"169","word_freq_hpl","word_freq_85",0.328805456460036
"170","word_freq_direct","word_freq_hp",0.325930333571703
"171","word_freq_hp","word_freq_direct",0.325930333571703
"172","word_freq_original","word_freq_1999",0.324884315479051
"173","word_freq_1999","word_freq_original",0.324884315479051
"174","word_freq_85","word_freq_lab",0.323511743061141
"175","word_freq_lab","word_freq_85",0.323511743061141
"176","word_freq_direct","word_freq_hpl",0.320139929320745
"177","word_freq_hpl","word_freq_direct",0.320139929320745
"178","word_freq_85","word_freq_hp",0.314543672690469
"179","word_freq_hp","word_freq_85",0.314543672690469
"180","char_freq_openBracket","word_freq_650",0.313834837194328
"181","word_freq_650","char_freq_openBracket",0.313834837194328
"182","char_freq_dollarSign","word_freq_000",0.310970723688381
"183","word_freq_000","char_freq_dollarSign",0.310970723688381
"184","word_freq_your","word_freq_you",0.304985829084322
"185","word_freq_you","word_freq_your",0.304985829084322
"186","char_freq_openBracket","word_freq_857",0.304678657669568
"187","word_freq_857","char_freq_openBracket",0.304678657669568
"188","char_freq_openBracket","word_freq_415",0.303605620692108
"189","word_freq_415","char_freq_openBracket",0.303605620692108
"190","word_freq_your","word_freq_receive",0.294825914959185
"191","word_freq_receive","word_freq_your",0.294825914959185
"192","char_freq_openBracket","word_freq_direct",0.268700646964972
"193","word_freq_direct","char_freq_openBracket",0.268700646964972
"194","word_freq_email","word_freq_addresses",0.254488590862865
"195","word_freq_addresses","word_freq_email",0.254488590862865
"196","capital_run_length_total","word_freq_order",0.248724179564331
"197","word_freq_order","capital_run_length_total",0.248724179564331
"198","char_freq_openBracket","word_freq_technology",0.245453580644191
"199","word_freq_technology","char_freq_openBracket",0.245453580644191
"200","word_freq_addresses","word_freq_order",0.238436117288274
"201","word_freq_order","word_freq_addresses",0.238436117288274
"202","word_freq_pm","word_freq_1999",0.237293570485764
"203","word_freq_1999","word_freq_pm",0.237293570485764
"204","char_freq_openBracket","word_freq_telnet",0.233391558300816
"205","word_freq_telnet","char_freq_openBracket",0.233391558300816
"206","char_freq_openBracket","word_freq_labs",0.224191590539764
"207","word_freq_labs","char_freq_openBracket",0.224191590539764
"208","word_freq_lab","word_freq_hpl",0.222459267475764
"209","word_freq_hpl","word_freq_lab",0.222459267475764
"210","word_freq_your","word_freq_business",0.221831484280356
"211","word_freq_business","word_freq_your",0.221831484280356
"212","word_freq_business","word_freq_internet",0.216422345009394
"213","word_freq_internet","word_freq_business",0.216422345009394
"214","word_freq_lab","word_freq_hp",0.21525590072433
"215","word_freq_hp","word_freq_lab",0.21525590072433
"216","word_freq_original","word_freq_pm",0.21443708630462
"217","word_freq_pm","word_freq_original",0.21443708630462
"218","capital_run_length_longest","word_freq_addresses",0.213992054005044
"219","word_freq_addresses","capital_run_length_longest",0.213992054005044
"220","word_freq_000","word_freq_over",0.211454715617765
"221","word_freq_over","word_freq_000",0.211454715617765
"222","char_freq_dollarSign","word_freq_people",0.205905179032332
"223","word_freq_people","char_freq_dollarSign",0.205905179032332
"224","capital_run_length_total","char_freq_dollarSign",0.201947678123149
"225","char_freq_dollarSign","capital_run_length_total",0.201947678123149
"226","char_freq_openBracket","word_freq_85",0.200712726786085
"227","word_freq_85","char_freq_openBracket",0.200712726786085
"228","word_freq_hp","word_freq_you",-0.197683212891804
"229","word_freq_you","word_freq_hp",-0.197683212891804
"230","word_freq_your","word_freq_make",0.197048611998533
"231","word_freq_make","word_freq_your",0.197048611998533
"232","word_freq_credit","word_freq_business",0.190948048974816
"233","word_freq_business","word_freq_credit",0.190948048974816
"234","capital_run_length_longest","word_freq_order",0.189247022511717
"235","word_freq_order","capital_run_length_longest",0.189247022511717
"236","word_freq_receive","word_freq_make",0.188458638276947
"237","word_freq_make","word_freq_receive",0.188458638276947
"238","word_freq_money","word_freq_make",0.188155181406382
"239","word_freq_make","word_freq_money",0.188155181406382
"240","word_freq_business","word_freq_remove",0.18798135371128
"241","word_freq_remove","word_freq_business",0.18798135371128
"242","char_freq_Hash","word_freq_font",0.184427542429989
"243","word_freq_font","char_freq_Hash",0.184427542429989
"244","word_freq_money","word_freq_you",0.184075316219009
"245","word_freq_you","word_freq_money",0.184075316219009
"246","capital_run_length_longest","char_freq_dollarSign",0.183144118864528
"247","char_freq_dollarSign","capital_run_length_longest",0.183144118864528
"248","word_freq_business","word_freq_receive",0.174198234776385
"249","word_freq_receive","word_freq_business",0.174198234776385
"250","word_freq_addresses","word_freq_over",0.173066331455625
"251","word_freq_over","word_freq_addresses",0.173066331455625
"252","capital_run_length_total","word_freq_report",0.169257281517344
"253","word_freq_report","capital_run_length_total",0.169257281517344
"254","word_freq_meeting","word_freq_parts",0.167478005615983
"255","word_freq_parts","word_freq_meeting",0.167478005615983
"256","capital_run_length_total","word_freq_000",0.165976571250309
"257","word_freq_000","capital_run_length_total",0.165976571250309
"258","word_freq_money","word_freq_your",0.165360774723488
"259","word_freq_your","word_freq_money",0.165360774723488
"260","word_freq_hpl","word_freq_you",-0.162799753005697
"261","word_freq_you","word_freq_hpl",-0.162799753005697
"262","capital_run_length_total","capital_run_length_average",0.162313609097777
"263","capital_run_length_average","capital_run_length_total",0.162313609097777
"264","word_freq_addresses","word_freq_mail",0.160543296892665
"265","word_freq_mail","word_freq_addresses",0.160543296892665
"266","word_freq_1999","word_freq_hpl",0.159837640321303
"267","word_freq_hpl","word_freq_1999",0.159837640321303
"268","word_freq_receive","word_freq_remove",0.159577914042351
"269","word_freq_remove","word_freq_receive",0.159577914042351
"270","word_freq_your","word_freq_order",0.159112007503385
"271","word_freq_order","word_freq_your",0.159112007503385
"272","char_freq_openBracket","word_freq_lab",0.158593462996225
"273","word_freq_lab","char_freq_openBracket",0.158593462996225
"274","word_freq_business","word_freq_order",0.158389863805145
"275","word_freq_order","word_freq_business",0.158389863805145
"276","word_freq_your","word_freq_internet",0.15690511698346
"277","word_freq_internet","word_freq_your",0.15690511698346
"278","word_freq_your","word_freq_all",0.156651166563486
"279","word_freq_all","word_freq_your",0.156651166563486
"280","word_freq_credit","word_freq_receive",0.155769199525083
"281","word_freq_receive","word_freq_credit",0.155769199525083
"282","word_freq_george","word_freq_you",-0.154757544002905
"283","word_freq_you","word_freq_george",-0.154757544002905
"284","word_freq_hp","word_freq_your",-0.154633399609996
"285","word_freq_your","word_freq_hp",-0.154633399609996
"286","char_freq_exclamationMark","word_freq_you",0.153381428150126
"287","word_freq_you","char_freq_exclamationMark",0.153381428150126
"288","capital_run_length_total","word_freq_addresses",0.151625576439083
"289","word_freq_addresses","capital_run_length_total",0.151625576439083
"290","char_freq_dollarSign","word_freq_order",0.149365071319352
"291","word_freq_order","char_freq_dollarSign",0.149365071319352
"292","word_freq_remove","word_freq_our",0.147335664054068
"293","word_freq_our","word_freq_remove",0.147335664054068
"294","char_freq_openBracket","word_freq_hpl",0.144770980667142
"295","word_freq_hpl","char_freq_openBracket",0.144770980667142
"296","word_freq_business","word_freq_our",0.143443348904087
"297","word_freq_our","word_freq_business",0.143443348904087
"298","char_freq_dollarSign","char_freq_exclamationMark",0.142912960493892
"299","char_freq_exclamationMark","char_freq_dollarSign",0.142912960493892
"300","word_freq_you","word_freq_receive",0.141780440130379
"301","word_freq_receive","word_freq_you",0.141780440130379
"302","char_freq_dollarSign","word_freq_your",0.141648863678568
"303","word_freq_your","char_freq_dollarSign",0.141648863678568
"304","word_freq_you","word_freq_all",0.139329358356627
"305","word_freq_all","word_freq_you",0.139329358356627
"306","word_freq_your","word_freq_email",0.137953530722812
"307","word_freq_email","word_freq_your",0.137953530722812
"308","word_freq_receive","word_freq_order",0.137759537023915
"309","word_freq_order","word_freq_receive",0.137759537023915
"310","char_freq_openBracket","word_freq_hp",0.136979165074215
"311","word_freq_hp","char_freq_openBracket",0.136979165074215
"312","word_freq_your","word_freq_our",0.136604976619756
"313","word_freq_our","word_freq_your",0.136604976619756
"314","word_freq_hpl","word_freq_your",-0.13531070100088
"315","word_freq_your","word_freq_hpl",-0.13531070100088
"316","word_freq_1999","word_freq_you",-0.134784875877073
"317","word_freq_you","word_freq_1999",-0.134784875877073
"318","word_freq_technology","word_freq_you",-0.134514042977693
"319","word_freq_you","word_freq_technology",-0.134514042977693
"320","word_freq_000","word_freq_make",0.134072110248073
"321","word_freq_make","word_freq_000",0.134072110248073
"322","word_freq_your","word_freq_credit",0.133062047905714
"323","word_freq_credit","word_freq_your",0.133062047905714
"324","word_freq_parts","word_freq_our",0.130811821888888
"325","word_freq_our","word_freq_parts",0.130811821888888
"326","word_freq_your","word_freq_remove",0.130794301472613
"327","word_freq_remove","word_freq_your",0.130794301472613
"328","word_freq_mail","word_freq_order",0.130623605917037
"329","word_freq_order","word_freq_mail",0.130623605917037
"330","word_freq_1999","word_freq_hp",0.129842032565826
"331","word_freq_hp","word_freq_1999",0.129842032565826
"332","char_freq_openBracket","word_freq_you",-0.128881669954086
"333","word_freq_you","char_freq_openBracket",-0.128881669954086
"334","word_freq_receive","word_freq_internet",0.128495489335936
"335","word_freq_internet","word_freq_receive",0.128495489335936
"336","word_freq_free","word_freq_remove",0.128435508193027
"337","word_freq_remove","word_freq_free",0.128435508193027
"338","word_freq_you","word_freq_make",0.128243150753236
"339","word_freq_make","word_freq_you",0.128243150753236
"340","word_freq_edu","word_freq_1999",0.12753046132283
"341","word_freq_1999","word_freq_edu",0.12753046132283
"342","word_freq_original","word_freq_hpl",0.126805158938125
"343","word_freq_hpl","word_freq_original",0.126805158938125
"344","word_freq_000","word_freq_order",0.12680016109467
"345","word_freq_order","word_freq_000",0.12680016109467
"346","word_freq_george","word_freq_your",-0.126246842821605
"347","word_freq_your","word_freq_george",-0.126246842821605
"348","word_freq_receive","word_freq_mail",0.12531918311334
"349","word_freq_mail","word_freq_receive",0.12531918311334
"350","char_freq_dollarSign","word_freq_addresses",0.123853837747347
"351","word_freq_addresses","char_freq_dollarSign",0.123853837747347
"352","word_freq_000","word_freq_all",0.12367068048067
"353","word_freq_all","word_freq_000",0.12367068048067
"354","word_freq_credit","word_freq_order",0.123216860555489
"355","word_freq_order","word_freq_credit",0.123216860555489
"356","capital_run_length_longest","word_freq_000",0.123035833103349
"357","word_freq_000","capital_run_length_longest",0.123035833103349
"358","word_freq_addresses","word_freq_all",0.122112819371076
"359","word_freq_all","word_freq_addresses",0.122112819371076
"360","word_freq_email","word_freq_remove",0.122011317111444
"361","word_freq_remove","word_freq_email",0.122011317111444
"362","word_freq_email","word_freq_all",0.121923250360078
"363","word_freq_all","word_freq_email",0.121923250360078
"364","word_freq_000","word_freq_people",0.119115459776972
"365","word_freq_people","word_freq_000",0.119115459776972
"366","word_freq_george","word_freq_will",-0.119058650219979
"367","word_freq_will","word_freq_george",-0.119058650219979
"368","word_freq_you","word_freq_people",0.118721352121069
"369","word_freq_people","word_freq_you",0.118721352121069
"370","word_freq_000","word_freq_your",0.118532989734702
"371","word_freq_your","word_freq_000",0.118532989734702
"372","word_freq_original","word_freq_857",0.118320856385331
"373","word_freq_857","word_freq_original",0.118320856385331
"374","word_freq_will","word_freq_receive",0.11825861884663
"375","word_freq_receive","word_freq_will",0.11825861884663
"376","word_freq_original","word_freq_415",0.117510477898733
"377","word_freq_415","word_freq_original",0.117510477898733
"378","word_freq_order","word_freq_over",0.11743784940208
"379","word_freq_over","word_freq_order",0.11743784940208
"380","char_freq_dollarSign","word_freq_make",0.11741852953038
"381","word_freq_make","char_freq_dollarSign",0.11741852953038
"382","word_freq_650","word_freq_you",-0.116212530213027
"383","word_freq_you","word_freq_650",-0.116212530213027
"384","word_freq_000","word_freq_you",0.115905338207187
"385","word_freq_you","word_freq_000",0.115905338207187
"386","char_freq_openSquareBracket","word_freq_original",0.11554800004696
"387","word_freq_original","char_freq_openSquareBracket",0.11554800004696
"388","capital_run_length_total","word_freq_receive",0.115055231574462
"389","word_freq_receive","capital_run_length_total",0.115055231574462
"390","word_freq_meeting","word_freq_our",0.115041423025679
"391","word_freq_our","word_freq_meeting",0.115041423025679
"392","word_freq_1999","word_freq_your",-0.114987696321058
"393","word_freq_your","word_freq_1999",-0.114987696321058
"394","word_freq_original","word_freq_hp",0.114236775080955
"395","word_freq_hp","word_freq_original",0.114236775080955
"396","char_freq_openSquareBracket","word_freq_data",0.11310535871551
"397","word_freq_data","char_freq_openSquareBracket",0.11310535871551
"398","capital_run_length_total","char_freq_openBracket",0.112209265151328
"399","char_freq_openBracket","capital_run_length_total",0.112209265151328
"400","word_freq_you","word_freq_remove",0.111792343919263
"401","word_freq_remove","word_freq_you",0.111792343919263
"402","word_freq_meeting","word_freq_will",0.111334949260948
"403","word_freq_will","word_freq_meeting",0.111334949260948
"404","capital_run_length_average","word_freq_order",0.111307883638072
"405","word_freq_order","capital_run_length_average",0.111307883638072
"406","word_freq_credit","word_freq_internet",0.109163145528376
"407","word_freq_internet","word_freq_credit",0.109163145528376
"408","word_freq_cs","word_freq_1999",0.10914178838437
"409","word_freq_1999","word_freq_cs",0.10914178838437
"410","word_freq_george","word_freq_all",-0.108885736922806
"411","word_freq_all","word_freq_george",-0.108885736922806
"412","char_freq_exclamationMark","word_freq_all",0.108140278865845
"413","word_freq_all","char_freq_exclamationMark",0.108140278865845
"414","char_freq_openBracket","word_freq_pm",0.107928243599462
"415","word_freq_pm","char_freq_openBracket",0.107928243599462
"416","char_freq_openBracket","word_freq_1999",0.107674040781618
"417","word_freq_1999","char_freq_openBracket",0.107674040781618
"418","word_freq_labs","word_freq_you",-0.10766222612959
"419","word_freq_you","word_freq_labs",-0.10766222612959
"420","capital_run_length_longest","word_freq_all",0.107462732959845
"421","word_freq_all","capital_run_length_longest",0.107462732959845
"422","word_freq_your","word_freq_over",0.106833121375795
"423","word_freq_over","word_freq_your",0.106833121375795
"424","word_freq_000","word_freq_receive",0.106324471945439
"425","word_freq_receive","word_freq_000",0.106324471945439
"426","word_freq_order","word_freq_make",0.106262978895582
"427","word_freq_make","word_freq_order",0.106262978895582
"428","word_freq_re","word_freq_pm",0.105905414401052
"429","word_freq_pm","word_freq_re",0.105905414401052
"430","word_freq_will","word_freq_make",0.105801004027917
"431","word_freq_make","word_freq_will",0.105801004027917
"432","char_freq_dollarSign","word_freq_over",0.105692112349106
"433","word_freq_over","char_freq_dollarSign",0.105692112349106
"434","word_freq_technology","word_freq_your",-0.105648082701218
"435","word_freq_your","word_freq_technology",-0.105648082701218
"436","word_freq_your","word_freq_will",0.105631119645225
"437","word_freq_will","word_freq_your",0.105631119645225
"438","word_freq_order","word_freq_internet",0.105301515266722
"439","word_freq_internet","word_freq_order",0.105301515266722
"440","capital_run_length_total","word_freq_people",0.10514965119791
"441","word_freq_people","capital_run_length_total",0.10514965119791
"442","char_freq_dollarSign","word_freq_money",0.104691309118805
"443","word_freq_money","char_freq_dollarSign",0.104691309118805
"444","char_freq_exclamationMark","word_freq_free",0.104260637464654
"445","word_freq_free","char_freq_exclamationMark",0.104260637464654
"446","capital_run_length_total","word_freq_font",0.103954481066572
"447","word_freq_font","capital_run_length_total",0.103954481066572
"448","capital_run_length_longest","word_freq_mail",0.10330831587694
"449","word_freq_mail","capital_run_length_longest",0.10330831587694
"450","word_freq_your","word_freq_free",0.102814917544823
"451","word_freq_free","word_freq_your",0.102814917544823
"452","word_freq_lab","word_freq_will",0.101684056856017
"453","word_freq_will","word_freq_lab",0.101684056856017
"454","capital_run_length_longest","word_freq_credit",0.0994629248905692
"455","word_freq_credit","capital_run_length_longest",0.0994629248905692
"456","word_freq_money","word_freq_order",0.0994613890335942
"457","word_freq_order","word_freq_money",0.0994613890335942
"458","word_freq_email","word_freq_order",0.0988043674957164
"459","word_freq_order","word_freq_email",0.0988043674957164
"460","word_freq_free","word_freq_receive",0.098711158205615
"461","word_freq_receive","word_freq_free",0.098711158205615
"462","word_freq_data","word_freq_you",-0.0985701513322652
"463","word_freq_you","word_freq_data",-0.0985701513322652
"464","word_freq_you","word_freq_our",0.0985101919200316
"465","word_freq_our","word_freq_you",0.0985101919200316
"466","char_freq_dollarSign","word_freq_business",0.0983234765178226
"467","word_freq_business","char_freq_dollarSign",0.0983234765178226
"468","word_freq_re","word_freq_you",0.0982699486569567
"469","word_freq_you","word_freq_re",0.0982699486569567
"470","word_freq_your","word_freq_mail",0.098071795783389
"471","word_freq_mail","word_freq_your",0.098071795783389
"472","capital_run_length_average","word_freq_all",0.0973980411498056
"473","word_freq_all","capital_run_length_average",0.0973980411498056
"474","word_freq_000","word_freq_business",0.0972843410145615
"475","word_freq_business","word_freq_000",0.0972843410145615
"476","word_freq_money","word_freq_free",0.0968122905427792
"477","word_freq_free","word_freq_money",0.0968122905427792
"478","word_freq_000","word_freq_mail",0.0968091182321026
"479","word_freq_mail","word_freq_000",0.0968091182321026
"480","capital_run_length_total","word_freq_george",-0.0965481356573623
"481","word_freq_george","capital_run_length_total",-0.0965481356573623
"482","word_freq_original","word_freq_direct",0.0960364224650502
"483","word_freq_direct","word_freq_original",0.0960364224650502
"484","word_freq_you","word_freq_over",0.0955047824528857
"485","word_freq_over","word_freq_you",0.0955047824528857
"486","word_freq_650","word_freq_your",-0.0954738902873883
"487","word_freq_your","word_freq_650",-0.0954738902873883
"488","capital_run_length_total","word_freq_re",-0.0954438398365772
"489","word_freq_re","capital_run_length_total",-0.0954438398365772
"490","word_freq_you","word_freq_email",0.0945802745839597
"491","word_freq_email","word_freq_you",0.0945802745839597
"492","word_freq_order","word_freq_all",0.0937863249402314
"493","word_freq_all","word_freq_order",0.0937863249402314
"494","word_freq_you","word_freq_mail",0.093508597513169
"495","word_freq_mail","word_freq_you",0.093508597513169
"496","word_freq_000","word_freq_email",0.0924977191719947
"497","word_freq_email","word_freq_000",0.0924977191719947
"498","word_freq_money","word_freq_email",0.0923898369449002
"499","word_freq_email","word_freq_money",0.0923898369449002
"500","char_freq_dollarSign","word_freq_you",0.0914699218232825
"501","word_freq_you","char_freq_dollarSign",0.0914699218232825
"502","word_freq_labs","word_freq_your",-0.0912134622993782
"503","word_freq_your","word_freq_labs",-0.0912134622993782
"504","char_freq_exclamationMark","word_freq_hp",-0.0908616160576546
"505","word_freq_hp","char_freq_exclamationMark",-0.0908616160576546
"506","capital_run_length_longest","word_freq_over",0.0901720364170603
"507","word_freq_over","capital_run_length_longest",0.0901720364170603
"508","word_freq_hp","word_freq_free",-0.0901391195083711
"509","word_freq_free","word_freq_hp",-0.0901391195083711
"510","word_freq_email","word_freq_receive",0.0896410661377291
"511","word_freq_receive","word_freq_email",0.0896410661377291
"512","word_freq_85","word_freq_you",-0.0895161330056751
"513","word_freq_you","word_freq_85",-0.0895161330056751
"514","word_freq_hp","word_freq_remove",-0.0894943689658666
"515","word_freq_remove","word_freq_hp",-0.0894943689658666
"516","word_freq_original","word_freq_cs",0.0893704376116864
"517","word_freq_cs","word_freq_original",0.0893704376116864
"518","word_freq_telnet","word_freq_you",-0.0893274628077186
"519","word_freq_you","word_freq_telnet",-0.0893274628077186
"520","word_freq_000","word_freq_internet",0.0892258597727462
"521","word_freq_internet","word_freq_000",0.0892258597727462
"522","capital_run_length_total","word_freq_make",0.0891647775993949
"523","word_freq_make","capital_run_length_total",0.0891647775993949
"524","word_freq_re","word_freq_will",-0.0888425277814021
"525","word_freq_will","word_freq_re",-0.0888425277814021
"526","word_freq_re","word_freq_original",0.0887722082557608
"527","word_freq_original","word_freq_re",0.0887722082557608
"528","word_freq_you","word_freq_will",0.0880453433451306
"529","word_freq_will","word_freq_you",0.0880453433451306
